Source Of Data,Period,Division,Business Unit,BWN,Entity,CostElement,Currency,CurrencyType,Scenario,Measure,Value
Manual Input,2022.01,PS,P00055,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-19592.05
Manual Input,2022.01,PS,P00260,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,36134.2
Manual Input,2022.01,PS,Y00071,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-16542.15
Manual Input,2022.01,PS,P00200,685,CTP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,22493.99
Manual Input,2022.01,PS,P00055,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,2192
Manual Input,2022.01,PS,P00068,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-357
Manual Input,2022.01,PS,P00281,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-903
Manual Input,2022.01,PS,P00284,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-1383
Manual Input,2022.01,PS,P00479,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,452
Manual Input,2022.01,PS,P00200,539,KRPS_WOP,1426310000,KRW,CompanyCodeCurrency,Actual,Value,-40211230
Manual Input,2022.01,PS,P00010,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,258789
Manual Input,2022.01,PS,P00020,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,229862
Manual Input,2022.01,PS,P00021,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,224612
Manual Input,2022.01,PS,P00026,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,40326
Manual Input,2022.01,PS,P00054,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,241957
Manual Input,2022.01,PS,P00055,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,62793
Manual Input,2022.01,PS,P00068,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,184789
Manual Input,2022.01,PS,P00091,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,139075
Manual Input,2022.01,PS,P00220,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,75820
Manual Input,2022.01,PS,P00258,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,587314
Manual Input,2022.01,PS,P00260,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,212634
Manual Input,2022.01,PS,P00280,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,904631
Manual Input,2022.01,PS,P00281,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,451960
Manual Input,2022.01,PS,P00282,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,59914
Manual Input,2022.01,PS,P00283,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,78344
Manual Input,2022.01,PS,P00284,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,321061
Manual Input,2022.01,PS,P00294,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,157705
Manual Input,2022.01,PS,P00295,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,106396
Manual Input,2022.01,PS,P00311,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,43537
Manual Input,2022.01,PS,P00541,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,60509
Manual Input,2022.01,PS,P00579,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,38211
Manual Input,2022.01,PS,P00580,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,291362
Manual Input,2022.01,PS,P00581,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,59534
Manual Input,2022.01,PS,P00586,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,229746
Manual Input,2022.01,PS,P00594,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,11826
Manual Input,2022.01,PS,P00932,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,74117
Manual Input,2022.01,PS,P00933,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,37621
Manual Input,2022.01,PS,P00937,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,1268
Manual Input,2022.02,PS,P00055,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-86502.84
Manual Input,2022.02,PS,P00260,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,644271.95
Manual Input,2022.02,PS,Y00071,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-557769.11
Manual Input,2022.02,PS,P00200,555,BARP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-538.82
Manual Input,2022.02,PS,P00091,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,26317
Manual Input,2022.02,PS,P00200,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-5541.41
Manual Input,2022.02,PS,P00220,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,85026.06
Manual Input,2022.02,PS,P00258,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,18411.07
Manual Input,2022.02,PS,P00280,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,44621.95
Manual Input,2022.02,PS,P00282,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,23051.03
Manual Input,2022.02,PS,P00283,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,2049.19
Manual Input,2022.02,PS,P00291,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,12361.9
Manual Input,2022.02,PS,P00298,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,411.86
Manual Input,2022.02,PS,P00580,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,83698.23
Manual Input,2022.02,PS,P00586,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,9182.53
Manual Input,2022.02,PS,P00590,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,6497.51
Manual Input,2022.02,PS,S01020,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-211356.54
Manual Input,2022.02,PS,P00200,685,CTP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,14598.75
Manual Input,2022.02,PS,P00055,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,3836
Manual Input,2022.02,PS,P00068,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-624
Manual Input,2022.02,PS,P00281,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-1582
Manual Input,2022.02,PS,P00284,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-2421
Manual Input,2022.02,PS,P00479,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,790
Manual Input,2022.02,PS,P00404,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,31485
Manual Input,2022.02,PS,P00479,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-31485
Manual Input,2022.02,PS,P00200,539,KRPS_WOP,1426310000,KRW,CompanyCodeCurrency,Actual,Value,-27278161
Manual Input,2022.02,PS,P00021,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-734
Manual Input,2022.02,PS,P00055,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,941
Manual Input,2022.02,PS,P00068,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-1017
Manual Input,2022.02,PS,P00091,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-355
Manual Input,2022.02,PS,P00220,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-497
Manual Input,2022.02,PS,P00290,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-123
Manual Input,2022.02,PS,P00581,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-413
Manual Input,2022.02,PS,P00010,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,235683
Manual Input,2022.02,PS,P00020,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,146023
Manual Input,2022.02,PS,P00021,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,158670
Manual Input,2022.02,PS,P00026,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,36688
Manual Input,2022.02,PS,P00054,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,178007
Manual Input,2022.02,PS,P00055,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,34578
Manual Input,2022.02,PS,P00068,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,156568
Manual Input,2022.02,PS,P00091,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,82960
Manual Input,2022.02,PS,P00220,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,47922
Manual Input,2022.02,PS,P00258,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,497022
Manual Input,2022.02,PS,P00260,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,199226
Manual Input,2022.02,PS,P00280,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,604975
Manual Input,2022.02,PS,P00281,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,318992
Manual Input,2022.02,PS,P00282,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,41939
Manual Input,2022.02,PS,P00283,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,50120
Manual Input,2022.02,PS,P00284,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,208708
Manual Input,2022.02,PS,P00294,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,78154
Manual Input,2022.02,PS,P00295,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,49302
Manual Input,2022.02,PS,P00311,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,37287
Manual Input,2022.02,PS,P00541,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,43223
Manual Input,2022.02,PS,P00579,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,22106
Manual Input,2022.02,PS,P00580,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,168273
Manual Input,2022.02,PS,P00581,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,33437
Manual Input,2022.02,PS,P00586,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,159423
Manual Input,2022.02,PS,P00594,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,9781
Manual Input,2022.02,PS,P00932,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,46494
Manual Input,2022.02,PS,P00933,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,18157
Manual Input,2022.02,PS,P00937,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,-80
Manual Input,2022.03,PS,P00055,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-36239.46
Manual Input,2022.03,PS,P00260,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,331759.21
Manual Input,2022.03,PS,Y00071,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-295519.75
Manual Input,2022.03,PS,P00200,555,BARP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-1570.66
Manual Input,2022.03,PS,P00200,65B,BIDP1,1426310000,INR,CompanyCodeCurrency,Actual,Value,-26349913
Manual Input,2022.03,PS,P00091,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,6809.01
Manual Input,2022.03,PS,P00200,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-1572.06
Manual Input,2022.03,PS,P00220,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,6505.91
Manual Input,2022.03,PS,P00258,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,5086.3
Manual Input,2022.03,PS,P00280,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,12653.28
Manual Input,2022.03,PS,P00282,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,4143.2
Manual Input,2022.03,PS,P00283,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,581.34
Manual Input,2022.03,PS,P00291,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,3506.99
Manual Input,2022.03,PS,P00298,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,1572.06
Manual Input,2022.03,PS,P00580,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,16422.48
Manual Input,2022.03,PS,P00586,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,1468.28
Manual Input,2022.03,PS,P00590,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,1324.02
Manual Input,2022.03,PS,S01020,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-53084.57
Manual Input,2022.03,PS,P00200,685,CTP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-4535.59
Manual Input,2022.03,PS,P00026,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-171.39
Manual Input,2022.03,PS,P00085,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-474.35
Manual Input,2022.03,PS,P00260,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-732.85
Manual Input,2022.03,PS,P00283,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-26.33
Manual Input,2022.03,PS,P00310,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-164.75
Manual Input,2022.03,PS,P00311,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-164.66
Manual Input,2022.03,PS,P00581,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-0.49
Manual Input,2022.03,PS,P00586,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-83.61
Manual Input,2022.03,PS,P00055,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,5259
Manual Input,2022.03,PS,P00068,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-856
Manual Input,2022.03,PS,P00281,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-2167
Manual Input,2022.03,PS,P00284,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-3318
Manual Input,2022.03,PS,P00479,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,1083
Manual Input,2022.03,PS,P00292,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,2339.18
Manual Input,2022.03,PS,P00403,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,3072.38
Manual Input,2022.03,PS,P00404,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,4509.8
Manual Input,2022.03,PS,P00450,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,3253.56
Manual Input,2022.03,PS,P00479,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,3559.58
Manual Input,2022.03,PS,S01020,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-16734.49
Manual Input,2022.03,PS,P00200,539,KRPS_WOP,1426310000,KRW,CompanyCodeCurrency,Actual,Value,-41644567
Manual Input,2022.03,PS,P00021,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-345
Manual Input,2022.03,PS,P00055,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-25515
Manual Input,2022.03,PS,P00068,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-60852
Manual Input,2022.03,PS,P00091,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-175
Manual Input,2022.03,PS,P00220,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-250
Manual Input,2022.03,PS,P00290,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-53
Manual Input,2022.03,PS,P00581,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-202
Manual Input,2022.03,PS,P00010,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,185013
Manual Input,2022.03,PS,P00020,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,171522
Manual Input,2022.03,PS,P00021,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,153521
Manual Input,2022.03,PS,P00026,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,60071
Manual Input,2022.03,PS,P00054,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,262674
Manual Input,2022.03,PS,P00055,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,69312
Manual Input,2022.03,PS,P00068,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,248783
Manual Input,2022.03,PS,P00085,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,81707
Manual Input,2022.03,PS,P00086,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,31341
Manual Input,2022.03,PS,P00091,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,152234
Manual Input,2022.03,PS,P00220,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,99809
Manual Input,2022.03,PS,P00258,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,712599
Manual Input,2022.03,PS,P00260,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,358788
Manual Input,2022.03,PS,P00280,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,760470
Manual Input,2022.03,PS,P00281,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,377577
Manual Input,2022.03,PS,P00282,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,50306
Manual Input,2022.03,PS,P00283,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,130879
Manual Input,2022.03,PS,P00284,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,270436
Manual Input,2022.03,PS,P00294,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,66987
Manual Input,2022.03,PS,P00295,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,99072
Manual Input,2022.03,PS,P00311,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,49535
Manual Input,2022.03,PS,P00460,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,8947
Manual Input,2022.03,PS,P00541,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,55978
Manual Input,2022.03,PS,P00579,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,48268
Manual Input,2022.03,PS,P00580,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,246742
Manual Input,2022.03,PS,P00581,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,55517
Manual Input,2022.03,PS,P00586,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,213892
Manual Input,2022.03,PS,P00594,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,30062
Manual Input,2022.03,PS,P00932,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,113912
Manual Input,2022.03,PS,P00933,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,146733
Manual Input,2022.03,PS,P00937,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,155
Manual Input,2022.04,PS,P00055,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-39892.49
Manual Input,2022.04,PS,P00260,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,282923.17
Manual Input,2022.04,PS,Y00071,982,ADP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-243030.68
Manual Input,2022.04,PS,P00200,555,BARP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-1460.41
Manual Input,2022.04,PS,P00200,65B,BIDP1,1426310000,INR,CompanyCodeCurrency,Actual,Value,25504080
Manual Input,2022.04,PS,P00091,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,11545.33
Manual Input,2022.04,PS,P00200,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-2488.91
Manual Input,2022.04,PS,P00220,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,46226.76
Manual Input,2022.04,PS,P00258,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,8105.56
Manual Input,2022.04,PS,P00280,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,20032.9
Manual Input,2022.04,PS,P00282,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,12887.01
Manual Input,2022.04,PS,P00283,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,920.39
Manual Input,2022.04,PS,P00291,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,5552.33
Manual Input,2022.04,PS,P00298,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-12936.06
Manual Input,2022.04,PS,P00580,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,39474.11
Manual Input,2022.04,PS,P00586,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,6184.91
Manual Input,2022.04,PS,P00590,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,3070.17
Manual Input,2022.04,PS,S01020,684,CAP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,-92524.69
Manual Input,2022.04,PS,P00200,685,CTP,1426310000,BRL,CompanyCodeCurrency,Actual,Value,41408.96
Manual Input,2022.04,PS,P00026,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,3516.21
Manual Input,2022.04,PS,P00085,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,9640.26
Manual Input,2022.04,PS,P00260,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,15240.95
Manual Input,2022.04,PS,P00283,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,452.77
Manual Input,2022.04,PS,P00310,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,3334.66
Manual Input,2022.04,PS,P00311,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,3334.8
Manual Input,2022.04,PS,P00581,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,35.09
Manual Input,2022.04,PS,P00586,816,EE_WOP,1426310000,EUR,CompanyCodeCurrency,Actual,Value,1518.71
Manual Input,2022.04,PS,P00055,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,1594
Manual Input,2022.04,PS,P00068,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-260
Manual Input,2022.04,PS,P00281,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-669
Manual Input,2022.04,PS,P00284,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-994
Manual Input,2022.04,PS,P00479,87,NuP1,1426310000,EUR,CompanyCodeCurrency,Actual,Value,328
Manual Input,2022.04,PS,P00292,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-2339.18
Manual Input,2022.04,PS,P00403,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-3072.38
Manual Input,2022.04,PS,P00404,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-4509.8
Manual Input,2022.04,PS,P00450,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-3253.56
Manual Input,2022.04,PS,P00479,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,-3559.58
Manual Input,2022.04,PS,S01020,983,EFPS_P,1426310000,EUR,CompanyCodeCurrency,Actual,Value,16734.49
Manual Input,2022.04,PS,P00200,539,KRPS_WOP,1426310000,KRW,CompanyCodeCurrency,Actual,Value,-99205065
Manual Input,2022.04,PS,P00021,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-869
Manual Input,2022.04,PS,P00055,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-12021
Manual Input,2022.04,PS,P00068,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-21681
Manual Input,2022.04,PS,P00091,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-488
Manual Input,2022.04,PS,P00220,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-526
Manual Input,2022.04,PS,P00290,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-187
Manual Input,2022.04,PS,P00581,615,SLPP,1426310000,USD,CompanyCodeCurrency,Actual,Value,-661
Manual Input,2022.04,PS,P00010,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,260620
Manual Input,2022.04,PS,P00020,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,248313
Manual Input,2022.04,PS,P00021,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,361590
Manual Input,2022.04,PS,P00026,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,63452
Manual Input,2022.04,PS,P00054,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,395785
Manual Input,2022.04,PS,P00055,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,65397
Manual Input,2022.04,PS,P00068,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,287149
Manual Input,2022.04,PS,P00085,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,67971
Manual Input,2022.04,PS,P00086,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,25186
Manual Input,2022.04,PS,P00091,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,186742
Manual Input,2022.04,PS,P00220,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,100721
Manual Input,2022.04,PS,P00258,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,865363
Manual Input,2022.04,PS,P00260,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,307773
Manual Input,2022.04,PS,P00280,566,UAESPS_WOP,1426310000,CNY,CompanyCodeCurrency,Actual,Value,1055953
